Name,Brand,Category,Image URL,Price,MSRP,Units Available,,455
"MALAWI WD 26""W CANE CHR BLACK",Arhaus,Decor,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/MalawiCaneChair-6002336-SoftBlack-AV1-tablet-2.jpg?v=1724448645,$ 82 each,$250,1,,
"DELANO UPH 30""W CHR OYSTER",Arhaus,Decor,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/b1925954-31c7-41d7-a8a6-56112619176b.jpg,$ 127 each,$385,1,,
"CARSON WD 28""W WOVEN CHR BROWN",Arhaus,Decor,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/42a28bde-a7a8-4ed2-ad4f-c159b162ae26.jpg,$ 329 each,"$1,000",1,,
9X12 VOYAGE MULTI RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/VoyageRug-6001790-Multi-AV1-tablet-3.jpg?v=1696294806,$ 571 each,$950,4,,
9X12 VIDES SABLE RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/VidesRug-6002566-PO1-TABLET_8.png?v=1697984563,$ 852 each,"$1,418",6,,
9X12 VESTIAGE MULTI RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/VesitageRug-6001860-Multi-AV1-tablet-1.jpg?v=1697984546,$ 541 each,$900,3,,
9X12 TUAREG BLACK RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Malek_Wool_6002673_Black_O-2-2tablet.jpg?v=1719421815,$ 696 each,"$1,158",2,,
9X12 TIMPA PEWTER RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Timpa_Wool_6002652_White_O-2-3mobile.jpg?v=1718044255,$ 554 each,$921,5,,
9X12 SEEKER MULTI RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/SeekerRug-6001864-Multi-AV1-tablet-1.jpg?v=1697984248,$ 346 each,$575,1,,
9X12 SAHRA TAN RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Laina_Wool_6003804_Tobacco_O-2-2tablet.jpg?v=1719419492,$ 268 each,$446,8,,
9X12 SAFA NATURAL RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Safa_Wool_6002668_Natural_O-2-3mobile.jpg?v=1718045290,$ 285 each,$475,8,,
9X12 RONDEAU MULTI RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/RondeauRug-6001846-Multi-AV1-tablet-1.jpg?v=1697984214,$ 793 each,"$1,320",5,,
9X12 RIDGE MULTI RUG,Arhaus,Pillows & Rugs,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/4a6c3453-5f4a-4f7d-a6ea-7c7c552e805f.jpg,$ 215 each,$358,5,,
9X12 REVERIE MULTI RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 275 each,$457,6,,
9X12 RANN COCOA RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 284 each,$473,4,,
9X12 PRISHA BLACK RUG,Arhaus,Pillows & Rugs,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/93bf456e-7bd3-4a1e-97fd-239a7a938e6c.jpg,$ 179 each,$297,6,,
9X12 PHILLO OYSTER RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 406 each,$675,6,,
9X12 NASIMA RUST RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 227 each,$378,4,,
