Name,Brand,Image URL,Price,MSRP,Units Available,Category
Savage Queen-size Maximalist Upholstered Bed in Ruby Chenille,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/kdzcn1kdo74shngk7h8r/Modus_Furniture_Savage_Maximalist_Upholstered_Bed_in_Ruby_Chenille_655450464744_SRWLH_Image01.jpg",$ 299 each,"$3,679",21,Furniture
Plata Dining Chair in Thunder Grey Set of 2,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/cd8a653bb52b587368ed0c5b34c483cc8e129b68/Modus_Furniture_Plata_Dining_Chair_in_Thunder_Grey_655450307058_6EL463_Image_1.jpg",$ 49 each,"$1,309",298,Furniture
Plata Extension Dining Table in Thunder Grey,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/415101e40ebae127dd9ed13d1427a92a1580bdb7/Modus_Furniture_Plata_Extension_Dining_Table_in_Thunder_Grey_655450307041_6EL460_Image01.jpg",$ 399 each,"$2,999",139,Furniture
Paragon California King-size Four Drawer Storage Bed in Truffle,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/e2043b1a5231e8a88b59a6bc975b9d0f9d89096d/Modus_Furniture_Paragon_Four_Drawer_Wood_Storage_Bed_in_Truffle_655450087141_4N35D__Image_1.jpg",$ 199 each,"$4,809",3,Furniture
Paragon California King-size Panel Bed in White,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/274c84cc35cdb6ca509e3031f9ce45c2e1a51c5e/Modus_Furniture_Paragon_Wood_Panel_Bed_in_White_655450163128_4NA4L_Image01.jpg",$ 199 each,"$2,579",5,Furniture
Paragon Full-size Panel Bed in White,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/274c84cc35cdb6ca509e3031f9ce45c2e1a51c5e/Modus_Furniture_Paragon_Wood_Panel_Bed_in_White_655450163128_4NA4L_Image01.jpg",$ 199 each,"$1,659",10,Furniture
Paragon California King-size Four Drawer Storage Bed in White,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/4315fc9ca93af7a3951a046674578f954d4be7c8/Modus_Furniture_Paragon_Four_Drawer_Wood_Storage_Bed_in_White_655450163159_4NA4D__Image_1.jpg",$ 299 each,"$3,349",9,Furniture
Paragon Five Drawer Chest in White (2024),Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/75a3108050ce8b793d786f4ecdfb91b91973a331/Modus_Furniture_Paragon_Five_Drawer_Chest_in_White_(2024)_655450432125_4NA484A_Image_1.jpg",$ 299 each,"$2,579",2,Furniture
Paragon Beveled Glass Mirror in White,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/0d4f355f8bbcd57dc88a50b3977a4c2b2005c779/Modus_Furniture_Paragon_Beveled_Glass_Mirror_in_White_655450163098_4NA483_Image01.jpg",$ 10 each,$389,63,Mirrors
Paragon California King-size Panel Bed in Black,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/d4b826db0c539bd1d532cdea5f8c141ea80ffd3f/Modus_Furniture_Paragon_Wood_Panel_Bed_in_Black_655450162879_4N02L__Image_1.jpg",$ 199 each,"$2,579",2,Furniture
