Name,Brand,Image URL,Price,MSRP,Units Available,Category
Tavel King-size Nailhead Upholstered Headboard in Tumbleweed,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/7b9d1aaed65bab4c88326e9c7c44b69d046b8218/Modus_Furniture_Tavel_Nailhead_Upholstered_Headboard_in_Tumbleweed_655450161865_3ZS1L_BH12_Image_1.jpg",$ 119 each,$639,5,Furniture
Tavel Full-size Nailhead Upholstered Headboard in Tumbleweed,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/7b9d1aaed65bab4c88326e9c7c44b69d046b8218/Modus_Furniture_Tavel_Nailhead_Upholstered_Headboard_in_Tumbleweed_655450161865_3ZS1L_BH12_Image_1.jpg",$ 119 each,$439,2,Furniture
Tavel Full-size Nailhead Platform Storage Bed in Tumbleweed,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/dcb9afeb9361dd50bc40ce2f235e8616091fe4da/Modus_Furniture_Tavel_Nailhead_Footboard_Storage_Bed_in_Tumbleweed_655450192142_3ZS1D_12_Image_1.jpg",$ 149 each,"$2,109",2,Furniture
Melina California King-Size Upholstered Platform Bed in Dolphin Linen,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/f5c95fab1921e0752214c24adf14d27d9a31fbf2/Modus_Furniture_Melina_Upholstered_Platform_Bed_in_Dolphin_Linen_655450231650_3ZH3L_53_Image01.jpg",$ 49 each,"$2,249",36,Furniture
Melina California King-size Tufted Upholstered Headboard in Dolphin Linen,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/154d67df428812bda4afb0ef713c1cc5813fd528/Modus_Furniture_Melina_Tufted_Upholstered_Headboard_in_Dolphin_Linen_655450231667_3ZH3L_BH53_Image_1.jpg",$ 49 each,"$1,309",36,Furniture
Melina Full-Size Upholstered Platform Bed in Dolphin Linen,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/f5c95fab1921e0752214c24adf14d27d9a31fbf2/Modus_Furniture_Melina_Upholstered_Platform_Bed_in_Dolphin_Linen_655450231650_3ZH3L_53_Image01.jpg",$ 99 each,"$1,779",7,Furniture
Melina Full-size Tufted Upholstered Headboard in Dolphin Linen,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/154d67df428812bda4afb0ef713c1cc5813fd528/Modus_Furniture_Melina_Tufted_Upholstered_Headboard_in_Dolphin_Linen_655450231667_3ZH3L_BH53_Image01.jpg",$ 49 each,"$1,069",7,Furniture
Melina California King-Size Upholstered Storage Bed in Dolphin Linen,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/c60d23bdb6e2cce2d852c4c6736449f66a324d3e/Modus_Furniture_Melina_Upholstered_Footboard_Storage_Bed_in_Dolphin_Linen_655450237799_3ZH3D_53_Image01.jpg",$ 399 each,"$3,429",36,Furniture
Melina Full-Size Upholstered Storage Bed in Dolphin Linen,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/c60d23bdb6e2cce2d852c4c6736449f66a324d3e/Modus_Furniture_Melina_Upholstered_Footboard_Storage_Bed_in_Dolphin_Linen_655450237799_3ZH3D_53_Image_1.jpg",$ 349 each,"$2,719",1,Furniture
Franklin Three Drawer Two Door White Oak Sideboard in Au Natural,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/kuu14ghoudwczguce7s1/Modus_Furniture_Franklin_Three_Drawer_Two_Door_White_Oak_Sideboard_in_Au_Natural_655450393891_MXNK78_Image01.jpg",$ 399 each,"$2,189",4,Furniture
Franklin Dining Chair in Au Natural and Gray Leather Set of 2,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/wv1t96cjut7zoanfxjce/Modus_Furniture_Franklin_Dining_Chair_in_Au_Natural_and_Gray_Leather_655450393846_MXNK63_Image01.jpg",$ 49 each,$729,133,Furniture
Finch Wood and Metal Etagere Bookcase in Buckwheat and Antique Bronze,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/ghndmuhi0uguz6xl0zjo/Modus_Furniture_Finch_Wood_and_Metal_Etagere_Bookcase_in_Buckwheat_and_Antique_Bronze_655450363061_KGJD19E_Image_1.jpg",$ 149 each,"$1,119",1,Furniture
Flex California King-size Upholstered Bed in Blue Jeans Chenille,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/sf1ln2boppikdpcifyuh/Modus_Furniture_Flex_Upholstered_Bed_in_Blue_Jeans_Chenille_655450472404_SRXMH__Image_1.jpg",$ 199 each,"$3,449",25,Furniture
Flex Full-Size Upholstered Bed in Blue Jeans Chenille,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/sf1ln2boppikdpcifyuh/Modus_Furniture_Flex_Upholstered_Bed_in_Blue_Jeans_Chenille_655450472404_SRXMH_Image01.jpg",$ 199 each,"$2,509",24,Furniture
Flex California King-size Upholstered Bed in Emerald Chenille,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/o54od9vf7uwjzxv4zbhj/Modus_Furniture_Flex_Upholstered_Bed_in_Emerald_Chenille_655450464843_SRWKH__Image_1.jpg",$ 199 each,"$3,449",15,Furniture
Flex Queen-size Upholstered Bed in Emerald Chenille,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/o54od9vf7uwjzxv4zbhj/Modus_Furniture_Flex_Upholstered_Bed_in_Emerald_Chenille_655450464843_SRWKH__Image_1.jpg",$ 199 each,"$2,509",126,Furniture
Flex Full-size Upholstered Bed in Emerald Chenille,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/o54od9vf7uwjzxv4zbhj/Modus_Furniture_Flex_Upholstered_Bed_in_Emerald_Chenille_655450464843_SRWKH_Image01.jpg",$ 199 each,"$2,509",14,Furniture
Everson Solid Fir Console Table in Sand Dollar,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/7f979fdb393d0c09bbb974fa44c7b811b4a1df06/Modus_Furniture_Everson_Solid_Fir_Console_Table_in_Sand_Dollar_655450321870_DVV123_Image01.jpg",$ 49 each,"$1,079",30,Furniture
Ennis Console Table,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/71f21bc3a61b8311ef5fdd7b379920203eb924ce/Modus_Furniture_Ennis_Console_Table_655450279515_8V4023_Image01.jpg",$ 99 each,"$1,719",33,Furniture
Ennis Coffee Table,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/f6327c1795bb92eb4f83c884dd0545536f6ba0af/Modus_Furniture_Ennis_Coffee_Table_655450279492_8V4021_Image01.jpg",$ 149 each,"$1,989",14,Furniture
Elora California King-size Fully Upholstered Platform Bed in Charcoal Velvet,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/pdolzjrkls7werntmi7a/Modus_Furniture_Elora_Fully_Upholstered_Platform_Bed_in_Charcoal_Velvet_655450415883_PRRZH__Image_1.jpg",$ 199 each,"$2,779",7,Furniture
Ella Mirror in Camel,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/cc2029aed271948225171a87e35eb16e57798710/Modus_Furniture_Ella_Mirror_in_Camel_655450309700_2G3883_Image01.jpg",$ 10 each,$439,9,Mirrors
Doheny Wood and Metal Two Door Sideboard in Black and Brass,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/akhb7o705nnxvg6ykklv/Modus_Furniture_Doheny_Wood_and_Metal_Two_Door_Sideboard_in_Black_and_Brass_655450393952_MPMV78_Image_1.jpg",$ 249 each,"$3,449",3,Furniture
Jade Upholstered Dining Chair in Cottage Cheese Boucle and Brushed Nickel Metal Set of 2,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/fr4isvv8rvw7k9zsjkqm/Modus_Furniture_Jade_Upholstered_Dining_Chair_in_Cottage_Cheese_Boucle_and_Brushed_Nickel_Metal_655450423499_PWTB63HMZ_Image_1.jpg",$ 49 each,$969,4,Furniture
Coral Marble Top Rectangular Sideboard in Antique Grey,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/e8e111d5d25b3ee26c50f5467f9598fb1a67cf78/Modus_Furniture_Coral_Marble_Top_Rectangular_Sideboard_in_Antique_Grey_655450279324_3N2578_Image01.jpg",$ 799 each,"$4,579",1,Furniture
Coral Synthetic Leather Upholstered Dining Chair Set of 2,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/640145378030cc7e0bd8ed200808f7caec3c091f/Modus_Furniture_Coral_Synthetic_Leather_Upholstered_Dining_Chair_655450279317_3N2563_Image01.jpg",$ 99 each,"$1,489",5,Furniture
Coral Marble Rectangular Dining Table,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/a71071c18a003c5d53ab8f97b7ad295d38560381/Modus_Furniture_Coral_Marble_Rectangular_Dining_Table_655450279287_3N2560_Image01.jpg",$ 799 each,"$6,169",31,Furniture
Cicero California King-size Wingback Upholstered Bed in Slate Grey,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/ed704a227c844ddf00843299ec2ab4d558bb0174/Modus_Furniture_Cicero_Upholstered_Wingback_Bed_in_Slate_Grey_655450298691_2KS3A__Image_1.jpg",$ 99 each,"$3,499",1,Furniture
Canyon Solid Wood and Metal Round End Table in Washed Grey,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/aazlmyyrhxzwxk1ps0gd/Modus_Furniture_Canyon_Solid_Wood_and_Metal_Round_End_Table_in_Washed_Grey_655450218149_AE8722_Image_1.jpg",$ 169 each,$989,25,Furniture
Canyon Solid Wood and Metal Round Coffee Table in Washed Grey,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/rbye2tmwb4h6y6ohgm6k/Modus_Furniture_Canyon_Solid_Wood_and_Metal_Round_Coffee_Table_in_Washed_Grey_655450218156_AE8721_Image01.jpg",$ 199 each,$959,13,Furniture
Canyon Solid Wood Rectangular End Table in Washed Grey,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/bssva80tjtdmy1pvcn3o/Modus_Furniture_Canyon_Solid_Wood_Rectangular_End_Table_in_Washed_Grey_655450170980_3E8722_Image01.jpg",$ 149 each,$869,54,Furniture
Bridger Coffee Table in Chalet,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/a3eaf813ef90a83c76a228888a2f19e4f344ca5c/Modus_Furniture_Bridger_Coffee_Table_in_Chalet_655450322297_EB5221_Image01.jpg",$ 50 each,$959,14,Furniture
Boho Chic Pttrn Mir - Wshd Wht,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/oldpjoxhqlrzbdf8emej/Modus_Furniture_Boho_Chic_Pttrn_Mir__Wshd_Wht_655450272158_1JQ983_Image_1.jpg",$ 10 each,$479,14,Furniture
Amalfi Rectangle Table,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/326a151d9789997fffdf757b2e8f620c58f0f9db/Modus_Furniture_Amalfi_Rectangle_Table_655450234170_1AJ5617W_Image01.jpg",$ 99 each,"$3,759",1,Furniture
Alexandra Queen-Size Solid Wood Storage Bed in Rustic Latte,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/7cc0eea16860fd50553b0811f41de1c8340edb95/Modus_Furniture_Alexandra_Solid_Wood_Storage_Bed_in_Rustic_Latte_655450265006_5RS3P__Image_1.jpg",$ 269 each,"$3,279",1,Furniture
Alexandra Solid Wood Two Drawer Nightstand in Rustic Latte,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/5e84fae2ffb0fbd0b6f7f6e2793fdce1a65354fd/Modus_Furniture_Alexandra_Solid_Wood_Two_Drawer_Nightstand_in_Rustic_Latte_655450264757_5RS381_Image_1.jpg",$ 149 each,$959,16,Furniture
William King-Size Panel Bed in Dusty Dawn,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/d6908631031068be3d8850b865d861581943bcde/Modus_Furniture_William_Solid_Wood_Panel_Bed_in_Dusty_Dawn_655450333446_FYBVA_Image01.jpg",$ 99 each,"$3,049",27,Furniture
Liyana Solid Wood Round End Table in Natural Tan,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/jp9xrtlqylpxdyrki2ps/Modus_Furniture_Liyana_Solid_Wood_Round_End_Table_in_Natural_Tan_655450414329_PJRT22_Image01.jpg",$ 149 each,"$1,049",19,Furniture
Liyana Solid Wood Round Coffee Table in Natural Tan,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/wfoeesensbchubv4emlp/Modus_Furniture_Liyana_Solid_Wood_Round_Coffee_Table_in_Natural_Tan_655450414299_PJRT21_Image01.jpg",$ 199 each,"$1,249",18,Furniture
Fevano Four Door Two Drawer Solid Wood Sideboard in Smoked Brown,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/s4np7kbjo53kjxby9qpq/Modus_Furniture_Fevano_Four_Door_Two_Drawer_Solid_Wood_Sideboard_in_Smoked_Brown_655450414640_PGRR78_Image01.jpg",$ 399 each,"$3,239",21,Furniture
Fevano Solid Wood Rectangular Dining Table in Smoked Brown,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/o05eg2kgvsmgegmcviln/Modus_Furniture_Fevano_Solid_Wood_Rectangular_Dining_Table_in_Smoked_Brown_655450414619_PGRR60_Image_1.jpg",$ 299 each,"$2,289",29,Furniture
Saxon Coffee Table in Matte Black,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/dc176bd4642c8df436ac6aeabd0de708aaff4d26/Modus_Furniture_Saxon_Coffee_Table_in_Matte_Black_655450297533_A9R321_Image_1.jpg",$ 199 each,"$1,259",19,Furniture
Rutherford Rectangular Wooden Counter Table in Drift and Antique White,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/uwr5axrn2nbjm7us3r41/Modus_Furniture_Rutherford_Rectangular_Wooden_Counter_Table_in_Drift_and_Antique_White_655450382390_LYMA66_Image_1.jpg",$ 99 each,$999,2,Furniture
Retreat Queen-size Slatted Platform Bed in Snowfall,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/kn6gk2ha98blnxnvppg8/Modus_Furniture_Retreat_Slatted_Platform_Bed_in_Snowfall_655450426360_MGRAH_Image01.jpg",$ 149 each,"$1,349",6,Furniture
Plata Sideboard in Thunder Grey,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/fabc3786938fd454c56fecba224ec813707ad38b/Modus_Furniture_Plata_Sideboard_in_Thunder_Grey_655450307065_6EL478_Image01.jpg",$ 349 each,"$3,229",17,Furniture
Paragon Mirror in Truffle,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/4ff805b0ae4bd528ad66a2f431544b4cc5705e45/Modus_Furniture_Paragon_Mirror_in_Truffle_655450084157_4N3583_Image01.jpg",$ 10 each,$529,105,Mirrors
Oakland Upholstered Arm Chair in Brunette Set of 2,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/a98e38b7ffe12f9ce7a7a658b759d5220ef4ccf1/Modus_Furniture_Oakland_Upholstered_Arm_Chair_in_Brunette_655450331404_FQBM64B_Image01.jpg",$ 49 each,"$1,119",11,Furniture
Oakland Wood Side Chair in Brunette Set of 2,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/d6dab4abdadfa308698b5d7c6e371622f03f178a/Modus_Furniture_Oakland_Wood_Side_Chair_in_Brunette_655450331374_FQBM63_Image01.jpg",$ 49 each,"$1,399",30,Furniture
Monty California King-Size Channeled Wall Bed Headboard Only in Gray Velvet,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/cdmapsdh5etjcamn2qfp/Modus_Furniture_Monty_Channeled_Wall_Bed_Headboard_Only_in_Gray_Velvet_655450380778_MCHCH_BH_Image_1.jpg",$ 49 each,$749,1,Furniture
Modesto Wood Frame Upholstered Arm Chair in Koala Linen and French Roast Set of 2,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/7e5a697193cd88d8994a66241bcb3e5442033d64/Modus_Furniture_Modesto_Wood_Frame_Upholstered_Arm_Chair_in_Koala_Linen_and_French_Roast_655450331275_FPBL64_Image_1.jpg",$ 49 each,"$1,339",11,Furniture
McKinney Solid Wood Beveled Glass Mirror in Espresso Pine,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/tkqray6fnhoqaew7bsrg/Modus_Furniture_McKinney_Solid_Wood_Beveled_Glass_Mirror_in_Espresso_Pine_655450181399_AKK183_Image_1.jpg",$ 10 each,$379,6,Mirrors
Marilyn Glass Top and Steel Base Round End Table,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/f88552d7741d086047ad10ffa37bcb4c1e661eed/Modus_Furniture_Marilyn_Glass_Top_and_Steel_Base_Round_End_Table_655450298325_4RV222_Image01.jpg",$ 119 each,$689,1,Furniture
Lucerne Queen-Size Upholstered Canopy Bed in Vintage Coffee,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/hhivfjccythn3jxedcgc/Modus_Furniture_Lucerne_Upholstered_Canopy_Bed_in_Vintage_Coffee_655450300677_5NL2B__Image_1.jpg",$ 199 each,"$3,499",24,Furniture
Sur California King-Size Upholstered Skirted Storage Panel Bed in Navy,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/08e176c7db0328eabe76307e68dbdc7309b5fb44/Modus_Furniture_Sur_Skirted_Footboard_Storage_Panel_Bed_in_Navy_655450314797_CBD5J_6_Image01.jpg",$ 349 each,"$3,399",12,Furniture
Laurel California King-Size Upholsterd Skirted Storage Panel Bed in Wheat,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/24861e4582de136e9035cb733136b3dd7fffc1b2/Modus_Furniture_Laurel_UpholsteredSkirted_Storage_Panel_Bed_in_Wheat_655450314513_CBC3J_5_Image_1.jpg",$ 299 each,"$3,259",9,Furniture
Cresta Full-Size Upholstered Skirted Panel Bed in Fog,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/633171c341fac5ce2d765bc0f06e39883e3c3c5e/Modus_Furniture_Cresta_Upholstered_Skirted_Panel_Bed_in_Fog_655450313615_CBA9H_2_Image_1.jpg",$ 279 each,"$2,249",4,Furniture
Cheviot California King-Size Upholsterd Skirted Storage Panel Bed in Iron,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/f4d55c9ae07cdee2f2df09c1f7532de66a152588/Modus_Furniture_Cheviot_UpholsteredSkirted_Storage_Panel_Bed_in_Iron_655450313950_CBB3J_3_Image_1.jpg",$ 299 each,"$3,229",9,Furniture
Hera King-Size Upholstered Skirted Storage Panel Bed in Oatmeal,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/7633e54e716098d082365d2db8364062f1063417/Modus_Furniture_Hera_Skirted_Footboard_Storage_Panel_Bed_in_Oatmeal_655450313394_CB96J_1_Image_1.jpg",$ 299 each,"$3,899",5,Furniture
Hera Queen-Size Upholstered Skirted Storage Panel Bed in Oatmeal,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/7633e54e716098d082365d2db8364062f1063417/Modus_Furniture_Hera_Skirted_Footboard_Storage_Panel_Bed_in_Oatmeal_655450313394_CB96J_1_Image_1.jpg",$ 399 each,"$3,229",9,Furniture
Hera Queen-Size Upholstered Skirted Panel Bed in Oatmeal,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/d45453695f44442796061194bfb23c9920d30cb8/Modus_Furniture_Hera_Upholstered_Skirted_Panel_Bed_in_Oatmeal_655450313271_CB96H_1_Image_1.jpg",$ 299 each,"$2,169",1,Furniture
Hera King-Size Upholstered Skirted Panel Bed in Oatmeal,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/d45453695f44442796061194bfb23c9920d30cb8/Modus_Furniture_Hera_Upholstered_Skirted_Panel_Bed_in_Oatmeal_655450313271_CB96H_1_Image01.jpg",$ 199 each,"$2,659",1,Furniture
Shelby Full-Size Upholstered Skirted Storage Panel Bed in Sky,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/fe5b045ed6491b357149e6d08d75c09d1449bd1e/Modus_Furniture_Shelby_Skirted_Footboard_Storage_Panel_Bed_in_Sky_655450314230_CB54J_4_Image_1.jpg",$ 299 each,"$2,209",2,Furniture
Hadley Panel Bed in Onyx,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/8cfbd16dd7b72268abaa9a78eaff2d320f24edec/Modus_Furniture_Hadley_Solid_Wood_Panel_Bed_in_Onyx_655450326516_A4H6A_Image01.jpg",$ 99 each,"$2,809",10,Furniture
Hadley Panel Bed in Onyx,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/8cfbd16dd7b72268abaa9a78eaff2d320f24edec/Modus_Furniture_Hadley_Solid_Wood_Panel_Bed_in_Onyx_655450326516_A4H6A_Image01.jpg",$ 250 each,"$1,819",2,Furniture
Saint Pierre Queen-size Upholstered Headboard in Toast Linen,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/8b8fcd516dcce0ca1980acdabe69fa87d576ffce/Modus_Furniture_Saint_Pierre_Upholstered_Headboard_in_Toast_Linen_655450161360_3ZL7L_BH8_Image_1.jpg",$ 179 each,$479,11,Furniture
Saint Pierre Queen-size Linen Platform Bed,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/6802f603c5e06ed83309932c52bbdbf2166798d0/Modus_Furniture_Saint_Pierre_Upholstered_Platform_Bed_in_Toast_Linen_655450161346_3ZL7L_8_Image_1.jpg",$ 249 each,"$1,049",11,Furniture
Saint Pierre Queen-size Linen Platform Storage Bed,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/ba610bf0d454e2659c3bfbfc971bedc1021b44c4/Modus_Furniture_Saint_Pierre_Upholstered_Platform_Storage_Bed_in_Toast_Linen_655450192104_3ZL7D_8_Image_1.jpg",$ 349 each,"$1,879",11,Furniture
Palermo California King-size Upholstered Wingback Headboard in Dark Stone,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/yhf92f0fn8uj6qprh2ub/Modus_Furniture_Palermo_Wingback_Upholstered_Headboard_in_Dark_Stone_Linen_655450344640_3ZFAL_BH63_Image01.jpg",$ 189 each,"$1,049",8,Furniture
Palermo California King-size Upholstered Wingback Platform Bed in Dark Stone,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/uchj6d1uth1ekvfur2zr/Modus_Furniture_Palermo_Upholstered_Wingback_Platform_Bed_in_Dark_Stone_655450344633_3ZFAL_63_Image_1.jpg",$ 199 each,"$1,879",8,Furniture
Palermo California King-size Upholstered Footboard Storage Bed in Dark Stone,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/mvffnj1xqkycdcoekaom/Modus_Furniture_Palermo_Upholstered_Footboard_Storage_Bed_in_Dark_Stone_655450344756_3ZFAD_63_Image01.jpg",$ 299 each,"$3,229",8,Furniture
Verona Full-size Tufted Upholstered Headboard in Speckled Grey,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/so6uzpaglf0idhfoggry/Modus_Furniture_Verona_Tufted_Upholstered_Headboard_in_Speckled_Grey_655450344886_3ZFBL_BH64_Image01.jpg",$ 183 each,$729,4,Furniture
