Name,Brand,Category,Image URL,Price,MSRP,Units Available,,837
Taj (Large) 21L x 3W Black Broken Halo Decorative Object,Mercana,Decor,https://marketplace.mercana.com/images/0034398_68801_A.jpeg,$ 95.99 each,$79,21,,
Avery II 55L x 17W Off White Upholstered Seat With Metal Base Accent Bench,Mercana,Furniture,https://marketplace.mercana.com/images/0034360_68742_A.jpeg,$ 899.99 each,$779,6,,
Neil I Diamond Shape Wall Mounted Brass Frame w Three Wood Wall Shelves,Mercana,Decor,https://marketplace.mercana.com/images/0023497_68006_A.jpeg,$ 249.99 each,$179,11,,
"Pallu 18.75""H Dhurrie Cotton Cover w/Four Wooden Legs Ottoman",Mercana,Furniture,https://marketplace.mercana.com/images/0020858_67489_A.jpeg,$ 359.99 each,$319,60,,
Greenfield II 59L x 14W Patterned Tan Upholstered Wood Frame Accent Bench,Mercana,Furniture,https://marketplace.mercana.com/images/0017427_67487_A.jpeg,$ 699.99 each,$599,1,,
"Simia (12""H) White Resin Playful Monkey Table Lamp",Mercana,Furniture,https://marketplace.mercana.com/images/0012851_65319_A.jpeg,$ 219.99 each,$179,19,,
Rudebekia (Set of 2) 16L x 16W Gold Round Metal Accent Tables,Mercana,Furniture,https://marketplace.mercana.com/images/0008549_50118_A.jpeg,$ 339.99 each,$329,38,,
Dylan Tall Textured Off White w/ Handles Ceramic Vase,Mercana,Decor,https://marketplace.mercana.com/images/0090152_70970_A.jpeg,$ 109.99 each,N/A,12,,
Tovah Tall Textured White w/ Gold Metal Vase,Mercana,Decor,https://marketplace.mercana.com/images/0090251_70952_A.jpeg,$ 70.99 each,$59,42,,
Tovah Medium Textured White w/ Gold Metal Vase,Mercana,Decor,https://marketplace.mercana.com/images/0090249_70951_A.jpeg,$ 65.99 each,$59,31,,
Tovah Small Textured White w/ Gold Metal Vase,Mercana,Decor,https://marketplace.mercana.com/images/0090244_70950_A.jpeg,$ 59.99 each,$49,31,,
"Teva Black Wood Rectangular 92"" Dining Table",Mercana,Furniture,https://marketplace.mercana.com/images/0088955_70862_A.jpeg,"$ 3,099.99 each","$2,899",8,,
Shane Brown Wood w/ Woven Brown Leather Bench,Mercana,Furniture,https://marketplace.mercana.com/images/0092879_70800_A.jpeg,"$ 1,449.99 each","$1,409",22,,
Shane Brown Wood w/ Woven Brown Leather Counter Stool,Mercana,Furniture,https://marketplace.mercana.com/images/0092860_70798_A.jpeg,"$ 1,049.99 each","$1,069",27,,
Edie Brushed Gold Metal w/ Frosted Glass Globes 2-Light Wall Sconce,Mercana,Lighting,https://marketplace.mercana.com/images/0079841_70437_A.jpeg,$ 279.99 each,$239,9,,
Jack Rust Linen Square Decorative Pillow Cover,Mercana,Pillows & Rugs,https://marketplace.mercana.com/images/0074719_70329_A.jpeg,$ 82.99 each,$79,101,,
